"register-termsOfUse","Binance's Terms"
"accounts-send-sms","Send SMS"
"forgot-password","Forgot Password?"
"noAccountTip","Not on Binance yet? "
"common-register","Register"
"register-alreadyRegistered","Already registered?"
"accounts-login","Log in"
"login-securityTip","Please check that you are visiting the correct URL:"
"client_able_to","#clientName# will be able to"
"Privacy Policy","Privacy Policy"
"accounts-resend","Resend"
"emailVerification-didntReceiveEmail","If you haven't received the email, please try to the following"
"register-sureEmailCorrect","• Make sure the email address you provided is correct."
"register-checkSpam","• Check your Spam or Junk mail folders. "
"register-addEmailWhitelist","• Add Binance to your email address whitelist."
"register-learnMore","Learn more"
"accounts-register-changeEmail","• Change email provider. <a href=""https://binance.zendesk.com/hc/en-us/articles/115003784871-How-to-Change-Account-Email"">How to change email provider? </a>"
"register-makeEmailNormally","• Make sure your email is functioning normally."
"accounts-goToEmail","Go to email"
"accounts-resendEmail","Resend Email"
"accounts-verification-code","Verification Code"
"common-step1","Step 1"
"yubikey-insertInto","Insert your security key into a USB port."
"common-step2","Step 2"
"yubikey-pressButton","If the key has a blinking light, press the button or gold disk."
"yubikey-timeOut","Timed out waiting for device to be pressed."
"yubikey-again","Try again"
"yubikey-waitingForDevice","Waiting for device. Press the button on your Security Key to continue."
"yubikey-safetyTips","Safety Tip"
"yubikey-binding","Your Security Key binding only applies to https://www.binance.com."
"yubikey-iUnderstand","I understand"
"yubikey-chrome49","You have turned on Security Key verification. 
Security Key is currently only supported in the following browsers: Chrome version 49.0 or later, 
Opera version 42 or later.
Please use a supported browser 
to complete the process."
"accounts-login-accountDisable","Your account has been disabled."
"accounts-common-cancel","Cancel"
"accounts-login-unlock","Unlock"
"modal-iUnderstood","I understand"
"2fa-googleAuth","Google Authentication"
"2fa-googleAuthDesc","Input the 6-digit code in your Google Authenticator app"
"2fa-googleAuthLabel","Google Authentication Code"
"accounts-2fa-code-error","That code was invalid. Please try again."
"2fa-lostGoogleAuthTip","Can't access Google Authenticator?"
"2fa-SMSAuth","SMS Authentication"
"2fa-SMSAuthDesc","Send and input the 6-digit code you received via phone. ##"
"2fa-SMSAuthLabel","SMS Verification Code"
"2fa-send","Send SMS"
"2fa-reSend","ReSend"
"2fa-sendSMSSuccess","Send SMS success."
"2fa-sendSMSFail","Send SMS failed, please try again."
"2fa-phoneUnavailable","Lost your phone?"
"accounts-2fa-voice-label","Did not receive SMS message?"
"accounts-2fa-voice-desc","Please try voice verification"
"accounts-2fa-voice-modal-title","Voice verification"
"accounts-2fa-voice-modal-desc","Send voice verification code to ##"
"common-cancel","Cancel"
"common-confirm","Confirm"
"sign_in_tips","Sign in to Binance Login to continue with ##Binance Uganda##"
"accounts-friends-receive","Your commission kickback rate:"
"register-createAccount","Create account"
"home-registerNow","Create a free account"
"kyc-faceVerifyTip","Face verification will be used to verify the legitimacy of this account. During any subsequent movement of funds, this account may be required to present facial information again. Please confirm that you own and operate this account."
"kyc-iAmOwner","I am the owner of this account"
"kyc-returnToProfile","Return to Profile »"
"kyc-faceVerifyRecommend","We recommend you to use mobile phone authentication. PC authentication may not work properly due to abnormal of network. "
"kyc-notCompleteFacial","You have not completed facial verification yet."
"reset2fa-facialVerify","Facial Verification"
"kyc-scanQRCodeTip","Please <span>scan the QR code</span>  using the Binance App on your mobile to complete your face verification process."
"kyc-noBinanceAPP","No Binance Mobile App? "
"download-title","Mobile & Desktop Downloads"
"kyc-scanInAppTip","To find the QR scan function, go to <span>""Account"" > ""Support"" </span> on your Binance App. If you can't find the function, please download the latest version."
"kyc-facialInfoPCAUTH","PC Authentication"
"kyc-completedOnPhone","I have completed on my phone"
"IDInfoVerifyTip","The uploaded photo is not clear enough."
"kyc-avoidWearingHats","Avoid wearing hats"
"kyc-avoidWearingGlasses","Avoid wearing glasses"
"kyc-avoidUsingFilters","Avoid using filters"
"kyc-useEnoughLighting","Use enough lighting"
"key-tryAgain","Try again"
"reset2fa-verifyemail","Verify your email"
"reset2fa-jumioemail","We've sent an email to your registered email address. Follow the instructions in the email to get started!"
"reset2fa-idverification","ID Verification"
"reset2fa-idtip","Please submit ID information in order to verify your identity."
"reset2fa-idtip1","Your ID Info submitted must be consistent with previously verified information."
"reset2fa-idtip2","If you have not completed any prior verifications, please submit your valid ID Info."
"reset2fa-next","Next"
